brand,carname,carimg,salevolume,price,manufacturer,carmodel,energytype,marketime,insure,series_id
名爵,MG4,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/060d2565ceea40fca95c269f4a69aca6~tplv-resize:640:0.png?psm=motor.rank.data,14007,6.58-9.98万,上汽集团,紧凑型车,纯电动,未知,6年或15万公里,5828
长安,长安CS75 PLUS,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ca979536da2c4cadb64281d0f33886d0~tplv-resize:640:0.png?psm=motor.rank.data,13653,8.99-12.49万,长安汽车,紧凑型SUV,汽油,未知,3年或10万公里,3196
比亚迪,海狮06EV,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/2f4d4de44df0441383cd118517635fda~tplv-resize:640:0.png?psm=motor.rank.data,13584,14.38-17.99万,比亚迪,中型SUV,纯电动,未知,6年或15万公里,25400
小米汽车,小米YU7,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d7ff66203a754169bf75cb1f0f713420~tplv-resize:640:0.png?psm=motor.rank.data,13558,25.35-32.99万,小米汽车,中大型SUV,纯电动,未知,5年或10万公里,20041
丰田,卡罗拉锐放,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ed29d140eaba4685b466b69482e34e3b~tplv-resize:640:0.png?psm=motor.rank.data,13555,9.38-15.18万,一汽丰田,紧凑型SUV,汽油,未知,3年或10万公里,5382
大众,迈腾,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/af209a0bc7a548a89dc86b1062cac9c7~tplv-resize:640:0.png?psm=motor.rank.data,13048,11.99-21.69万,一汽-大众,中型车,汽油,未知,3年或10万公里,415
吉利汽车,星越L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/588bea89ef084984b66a2ee353b261ff~tplv-resize:640:0.png?psm=motor.rank.data,12940,12.47-16.47万,吉利汽车,紧凑型SUV,汽油,未知,5年或15万公里,4857
别克,昂科威,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/dc18eb3ac0974de39301da05d78203e4~tplv-resize:640:0.png?psm=motor.rank.data,12755,16.49-19.49万,上汽通用别克,中型SUV,汽油,未知,3年或10万公里,352
哈弗,哈弗大狗,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/413defba9aa74f2892f7f7ced70ce53a~tplv-resize:640:0.png?psm=motor.rank.data,12645,9.09-11.69万,长城汽车,紧凑型SUV,汽油,未知,3年或10万公里,4563
长安启源,长安启源Q05,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/d165339b96b94c7bb9f77369d17afdc1~tplv-resize:640:0.png?psm=motor.rank.data,12568,6.99-10.99万,长安启源,紧凑型SUV,纯电动,未知,6年或15万公里,25634
吉利汽车,缤越,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/1546bce3c7764e6b9a895274b29a019f~tplv-resize:640:0.png?psm=motor.rank.data,12218,5.88-8.58万,吉利汽车,小型SUV,汽油,未知,4年或10万公里,2975
宝马,宝马3系,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8a3daca02bc04bfea188f572f278aaf6~tplv-resize:640:0.png?psm=motor.rank.data,11953,20.8-28.99万,华晨宝马,中型车,汽油,未知,3年或10万公里,145
长安,逸动,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/e0d9676066014f75a9f63c3a74d969ef~tplv-resize:640:0.png?psm=motor.rank.data,11214,5.29-8.49万,长安汽车,紧凑型车,汽油,未知,3年或10万公里,1455
零跑汽车,零跑C10,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/4fbd6a7c598d4e2c8edfe0d08b6179c0~tplv-resize:640:0.png?psm=motor.rank.data,10992,11.38-16.88万,零跑汽车,中型SUV,增程式,未知,4年或12万公里,9307
吉利汽车,星瑞,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0bd351ca4fbb43e88ce265d8f0b869fb~tplv-resize:640:0.png?psm=motor.rank.data,10982,8.97-13.67万,吉利汽车,紧凑型车,汽油,未知,4年或10万公里,3476
埃安,AION i60,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/371db0cffb5143d9a38f62f951730f40~tplv-resize:640:0.png?psm=motor.rank.data,10838,10.28-13.58万,广汽埃安新能源,紧凑型SUV,增程式,未知,4年或15万公里,25643
丰田,亚洲龙,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/b47ec0be1ba940aa8e02b93784b6949e~tplv-resize:640:0.png?psm=motor.rank.data,10700,12.78-20.48万,一汽丰田,中型车,汽油,未知,3年或10万公里,3068
奥迪,奥迪A6L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/91eaac8446114757841144c12ddb8d37~tplv-resize:640:0.png?psm=motor.rank.data,10591,29.1-43.29万,一汽奥迪,中大型车,汽油,未知,3年或10万公里,99
五菱汽车,缤果S,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/fe583d70163f47ab97f855da90ff055a~tplv-resize:640:0.png?psm=motor.rank.data,10556,6.38-8.68万,上汽通用五菱,小型车,纯电动,未知,4年或15万公里,25571
本田,本田CR-V,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/541410e4d8134f54ab910e4d8fc59005~tplv-resize:640:0.png?psm=motor.rank.data,10433,13.99-20.99万,东风本田,紧凑型SUV,汽油,未知,3年或10万公里,280
极氪,ZEEKR 9X,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/aa455b63a7a54255ad80d02ec31a7c1c~tplv-resize:640:0.png?psm=motor.rank.data,10060,46.59-59.99万,极氪,大型SUV,插电式混合动力,未知,6年或15万公里,24670
比亚迪,秦PLUS DM,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/07aa7548dcd2431799fcc58785c6d74b~tplv-resize:640:0.png?psm=motor.rank.data,10031,6.78-9.48万,比亚迪,紧凑型车,插电式混合动力,未知,6年或15万公里,4802
奥迪,奥迪Q5L,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0eb7058e774841969c92d987e64c09f5~tplv-resize:640:0.png?psm=motor.rank.data,9698,24.49-38.18万,一汽奥迪,中型SUV,油电混合,未知,3年或10万公里,2916
红旗,红旗H5,https://p3-dcd.byteimg.com/motor-mis-img/4e5a38bacf99a7c63567e63f3bde1216~tplv-resize:640:0.png?psm=motor.rank.data,9376,10.98-16.58万,一汽红旗,中型车,汽油,未知,4年或10万公里,6132
奇瑞,瑞虎8,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/8948b3d3dd0847c8ae890e92abf22cfc~tplv-resize:640:0.png?psm=motor.rank.data,9334,7.99-12.29万,奇瑞汽车,中型SUV,汽油,未知,3年或10万公里,2794
小鹏汽车,小鹏MONA M03,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/382f7f8f3049446b9f096556e9f3175d~tplv-resize:640:0.png?psm=motor.rank.data,9306,11.98-15.18万,小鹏汽车,紧凑型车,纯电动,未知,5年或12万公里,10170
吉利汽车,帝豪,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/bc0b49cf6ce64af69812bdf57ce865ac~tplv-resize:640:0.png?psm=motor.rank.data,9278,4.88-8.29万,吉利汽车,紧凑型车,汽油,未知,4年或15万公里,733
丰田,威兰达,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/9ac5e12a5eb646b0aafe086de5aa1bf2~tplv-resize:640:0.png?psm=motor.rank.data,9247,12.98-22.08万,广汽丰田,紧凑型SUV,汽油,未知,3年或10万公里,4172
ARCFOX极狐,极狐T1,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/8c49609f761840fc8742c0a59f12fba7~tplv-resize:640:0.png?psm=motor.rank.data,8729,5.98-12.58万,北汽新能源,小型车,纯电动,未知,5年或12万公里,25401
AITO,问界M7,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/f0139587d2084e03a6a9ab6e8db0fcf7~tplv-resize:640:0.png?psm=motor.rank.data,8383,27.98-38.98万,赛力斯汽车,中大型SUV,纯电动,未知,4年或10万公里,5820
丰田,卡罗拉,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/ba722f1719804375b600d5c5a8de0640~tplv-resize:640:0.png?psm=motor.rank.data,8216,7.58-12.48万,一汽丰田,紧凑型车,汽油,未知,3年或10万公里,542
大众,途岳,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/c33c6674860948149e5d808e05ae222d~tplv-resize:640:0.png?psm=motor.rank.data,8198,7.99-16.49万,上汽大众,紧凑型SUV,汽油,未知,3年或10万公里,2836
理想汽车,理想L6,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/0cd0f362cc6440b4aff4feed0532f12f~tplv-resize:640:0.png?psm=motor.rank.data,8130,24.98-27.98万,理想汽车,中大型SUV,增程式,未知,5年或10万公里,5845
埃安,AION Y,https://p3-dcd.byteimg.com/tos-cn-i-dcdx/d382087dc4bd467f8951919c0b5f8334~tplv-resize:640:0.png?psm=motor.rank.data,8076,8.68-12.28万,广汽埃安新能源,紧凑型SUV,纯电动,未知,4年或15万公里,4814
奔驰,奔驰C级,https://p9-dcd.byteimg.com/tos-cn-i-dcdx/e8abf034d5504085a9850c7b7632b065~tplv-resize:640:0.png?psm=motor.rank.data,8000,21.56-26.56万,北京奔驰,中型车,48V轻混系统,未知,3年不限公里,212
